LCLAS_NM,MLSFC_NM,RPRSNT_RAWMTRL_NM,RAWMTRL_NCKNM,ENG_NM,SCNM,REGN_CD_NM,RAWMTRL_STATS_CD_NM,USE_CND_NM
식품원료(A코드),식물,Abiu열매,,"Yellow star apple, Caimito, Caimo, Luma",Pouteria caimito Radlk / Lucuma caimito Roem. & Schult / Achras caimito Ruiz & Pavon,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Abiu열매분말,,"Yellow star apple, Caimito, Caimo, Luma",Pouteria caimito Radlk / Lucuma caimito Roem. & Schult / Achras caimito Ruiz & Pavon,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Agathi꽃,,Acham,Sesbania grandiflora,꽃,,"사용가능부위 : 잎, 꽃"
식품원료(A코드),식물,Agathi잎,,Acham,Sesbania grandiflora,잎,,"사용가능부위 : 잎, 꽃"
식품원료(A코드),식물,Alder Buckthorn,,"Frangula bark, Frangula alnus (Mill.), Black dogwood, Alder dogwood, European black alder, European buckthorn, Black alder, Arrow wood, Persian berries",Rhamnus frangula (L),전체,,
식품원료(A코드),식물,Algarrobo blanco열매,,"Ibope, Igope, Tacu, Argentine mesquite",Prosopis alba Grisebach,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Amaltash,, ,Cassia Fistula Linn,전체,,
식품원료(A코드),식물,Ambarella열매,,"Jobo de la India, Otaheite apple",Spondias dulcis Forst. / Spondias cytherea Sonn.,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Anantmul잎,,,Hemidesmus indicus,잎,,사용가능부위 : 잎
식품원료(A코드),식물,Arjuna Myrobalan,,"Arjun, Arjuna","Terminalia arjuna, Pentaptera glabra",전체,,
식품원료(A코드),식물,Artemisia indica잎,,,Artemisia indica,잎,,사용가능부위 : 잎
식품원료(A코드),식물,Asparagus acutifolius순,,,Asparagus acutifolius L.,순,,사용가능부위 : 순
식품원료(A코드),식물,Bakuri열매,,,Platonia insignis Mart. / Aristoclesia esculenta Stuntz / Platonia esculenta,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Barrenwort잎,,"Lilafee, Horny goat weed",Epimedium grandiflorum C. Morren.,잎,,
식품원료(A코드),식물,Bears Garlic잎, ,"Ransoms, ramsons, Wild garlic",Allium ursinum L.,잎,,사용가능부위 : 잎
식품원료(A코드),식물,Birch잎,,,Betula alba,잎,,사용가능부위 : 잎
식품원료(A코드),식물,Biriba열매,,,Rollinia mucosa,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Birthwort,,"Aristolochia root, upright birthwort, birthwort, ma dou ling","Aristolochia clematitis L.
Aristolochia longa Georgi (이명)",전체,,
식품원료(A코드),식물,흑자작수액, ,"River birch, Black birch",Betula nigra L.,수액,,사용가능부위 : 수액
식품원료(A코드),식물,Black gram씨앗,,,Phaseolus mungo,씨앗,,사용가능부위 : 씨앗
식품원료(A코드),식물,Black Haw,,Stagberry,Viburnum prunifolium ,전체,,
식품원료(A코드),식물,Black mangrove꽃꿀,,,Avicennia germinans L. / Avicennia nitida Jacq.,꽃꿀,,"사용가능부위 : 열매, 꽃꿀"
식품원료(A코드),식물,Black mangrove열매,,,Avicennia germinans L. / Avicennia nitida Jacq.,열매,,"사용가능부위 : 열매, 꽃꿀"
식품원료(A코드),식물,Blue elderberry,,,Sambucus cerulea,전체,,
식품원료(A코드),식물,Boldo열매, ,"Boldu, Boldus, Boldoa fragrans",Peumus boldus / Boldu boldus,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Boldo잎,,"Boldu, Boldus, Boldoa fragrans","Peumus boldus , Boldu boldus",잎,,사용가능부위 : 열매
식품원료(A코드),식물,Boletus pallidus,,,Boletus pallidus,-,,
식품원료(A코드),식물,Bread fruit열매,,,Artocarpus altilis,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Butchers broom,,Kneeholy. Knee Holly. Kneeholm. Jews Myrtle. Sweet Broom. Pettigree,Ruscus aculeatus,전체,,
식품원료(A코드),식물,Butter pit열매,,,Acanthosicyos horridus,열매,,사용가능부위 : 열매
식품원료(A코드),식물,California nutmeg씨앗,,,Torreya californica,씨앗,,사용가능부위 : 씨앗
식품원료(A코드),식물,Candlenut oil tree,,"Candleberry, Varnish tree, Indian walnut, Belgaum walnut",Aleurites moluccana (L.) Willd. = Aleurites triloba Forst. = Croton moluccanus L.,전체,,
식품원료(A코드),식물,Capulin열매, ,Capulin cherry,Prunus salicifolia,열매 (씨앗 제외),,사용가능부위 : 열매(씨앗 제외)
식품원료(A코드),식물,Catuaba,,"Chuchuhuasha, Tatuaba, Pau de Reposta, Caramuru, Piratancara",Erythroxylum catuaba,전체,,
식품원료(A코드),식물,Celandine,,"monks pepper, Chaste Tree, Chasteberry, vitex, Fructus viticis, Agnus castus",Vitex agnus-castus L.,열매,,
식품원료(A코드),식물,Chupa-Chupa열매,,,Quararibea cordata / Matisia cordata,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Cocona열매,,,Solanum sessiliflorum,열매,,"사용가능부위 : 잎, 열매"
식품원료(A코드),식물,Cocona잎,,,Solanum sessiliflorum,잎,,"사용가능부위 : 잎, 열매"
식품원료(A코드),식물,Codonopsis ovata,新疆党参(신강당삼),,"Codonopsis ovata Benth.
Codonopsis clematidea C.B.Clarke (이명)",전체,,
식품원료(A코드),식물,Common speedwell잎,,,Veronica officinalis,잎,,사용가능부위 : 잎
식품원료(A코드),식물,램스레터스,,Lambs Lettuce,VALERIANELLA OLITORIA,-,,
식품원료(A코드),식물,Corn salad,,Lambs Lettuce,VALERIANELLA OLITORIA,전체,,
