식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),폐기율(%),출처코드,출처명,원산지국코드,수입여부,데이터생성방법명,원산지국명,원산지역명,데이터생성방법코드,데이터생성일자,생산·채취·포획월,데이터기준일자,제공기관코드,제공기관명
R211-009112801-0001,"가자미류_기름가자미(21-24cm)_수컷,육_생것_대표_1월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100911,기름가자미(21-24cm),110091128,"수컷,육",01,생것,100g,90,79.0,19.42,0.83,1.28,0.00,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,01,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009111601-0001,"가자미류_기름가자미(21-24cm)_암컷,육_생것_대표_1월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100911,기름가자미(21-24cm),110091116,"암컷,육",01,생것,100g,92,77.7,19.20,0.93,1.57,0.61,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,01,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009111601-0002,"가자미류_기름가자미(21-24cm)_암컷,육_생것_대표_2월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100911,기름가자미(21-24cm),110091116,"암컷,육",01,생것,100g,82,79.6,17.36,0.24,1.20,1.58,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,02,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009132801-0010,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_10월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",01,생것,100g,83,79.9,17.63,0.64,1.25,0.62,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,10,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009132801-0011,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_11월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",01,생것,100g,92,79.2,18.51,1.49,1.13,0.00,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,11,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009132801-0012,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_12월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",01,생것,100g,95,79.2,17.38,2.19,1.03,0.16,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,12,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009132801-0001,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_1월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",01,생것,100g,89,79.0,19.00,0.94,1.24,0.00,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,01,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009132801-0002,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_2월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",01,생것,100g,81,80.3,16.45,0.44,0.94,1.86,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,02,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009132801-0003,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_3월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",01,생것,100g,102,77.3,18.59,1.47,0.36,2.27,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,03,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009132801-0004,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_4월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",01,생것,100g,87,79.1,17.99,0.99,1.41,0.48,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,04,2025-01-13,1192266,해양수산부 국립수산과학원
