식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),폐기율(%),수입여부
R211-009112801-0001,"가자미류_기름가자미(21-24cm)_수컷,육_생것_대표_1월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100911,기름가자미(21-24cm),110091128,"수컷,육",1,생것,100g,90,79.0,19.42,0.83,1.28,0.0,,,,,,,,,,,,,,,,,,,,N
R211-009111601-0001,"가자미류_기름가자미(21-24cm)_암컷,육_생것_대표_1월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100911,기름가자미(21-24cm),110091116,"암컷,육",1,생것,100g,92,77.7,19.2,0.93,1.57,0.61,,,,,,,,,,,,,,,,,,,,N
R211-009111601-0002,"가자미류_기름가자미(21-24cm)_암컷,육_생것_대표_2월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100911,기름가자미(21-24cm),110091116,"암컷,육",1,생것,100g,82,79.6,17.36,0.24,1.2,1.58,,,,,,,,,,,,,,,,,,,,N
R211-009132801-0010,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_10월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",1,생것,100g,83,79.9,17.63,0.64,1.25,0.62,,,,,,,,,,,,,,,,,,,,N
R211-009132801-0011,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_11월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",1,생것,100g,92,79.2,18.51,1.49,1.13,0.0,,,,,,,,,,,,,,,,,,,,N
R211-009132801-0012,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_12월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",1,생것,100g,95,79.2,17.38,2.19,1.03,0.16,,,,,,,,,,,,,,,,,,,,N
R211-009132801-0001,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_1월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",1,생것,100g,89,79.0,19.0,0.94,1.24,0.0,,,,,,,,,,,,,,,,,,,,N
R211-009132801-0002,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_2월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",1,생것,100g,81,80.3,16.45,0.44,0.94,1.86,,,,,,,,,,,,,,,,,,,,N
R211-009132801-0003,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_3월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",1,생것,100g,102,77.3,18.59,1.47,0.36,2.27,,,,,,,,,,,,,,,,,,,,N
R211-009132801-0004,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_4월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",1,생것,100g,87,79.1,17.99,0.99,1.41,0.48,,,,,,,,,,,,,,,,,,,,N
R211-009132801-0005,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_5월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",1,생것,100g,81,80.2,16.34,0.59,1.2,1.68,,,,,,,,,,,,,,,,,,,,N
R211-009132801-0006,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_6월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",1,생것,100g,88,79.7,19.26,0.71,1.59,0.0,,,,,,,,,,,,,,,,,,,,N
R211-009132801-0007,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_7월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",1,생것,100g,88,80.9,17.3,1.55,1.16,0.0,,,,,,,,,,,,,,,,,,,,N
R211-009132801-0008,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_8월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",1,생것,100g,82,81.2,16.6,1.05,0.76,0.44,,,,,,,,,,,,,,,,,,,,N
R211-009132801-0009,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_9월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",1,생것,100g,90,79.4,19.32,0.9,1.62,0.0,,,,,,,,,,,,,,,,,,,,N
R211-009131601-0010,"가자미류_기름가자미(25-29cm)_암컷,육_생것_대표_10월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091316,"암컷,육",1,생것,100g,91,79.9,18.98,1.21,1.23,0.0,,,,,,,,,,,,,,,,,,,,N
R211-009131601-0011,"가자미류_기름가자미(25-29cm)_암컷,육_생것_대표_11월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091316,"암컷,육",1,생것,100g,87,79.4,18.51,0.85,1.12,0.1,,,,,,,,,,,,,,,,,,,,N
R211-009131601-0012,"가자미류_기름가자미(25-29cm)_암컷,육_생것_대표_12월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091316,"암컷,육",1,생것,100g,86,78.7,19.46,0.4,1.27,0.13,,,,,,,,,,,,,,,,,,,,N
R211-235011601-1216,"청어_암컷,육_생것_포항_8월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350116,"암컷,육",1,생것,100g,198,67.4,18.21,12.65,1.31,0.44,,,,,,,,,,,,,,,,,,,,N
R211-235011601-1217,"청어_암컷,육_생것_포항_9월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350116,"암컷,육",1,생것,100g,176,68.8,19.45,9.67,1.43,0.64,,,,,,,,,,,,,,,,,,,,N
R211-235014050-0003,청어_육_구운것_대표_3월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,50,구운것,100g,248,40.7,26.54,3.14,3.73,25.91,,,,,,,,,,,,,,,,,,,,N
R211-235014050-0004,청어_육_구운것_대표_4월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,50,구운것,100g,331,26.9,33.44,8.47,4.47,26.72,,,,,,,,,,,,,,,,,,,,N
R211-235014002-0003,청어_육_말린것_대표_3월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,2,말린것,100g,375,7.6,82.26,1.94,5.83,2.38,,,,,,,,,,,,,,,,,,,,N
R211-235014002-0004,청어_육_말린것_대표_4월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,2,말린것,100g,400,4.6,83.44,4.81,6.55,0.64,,,,,,,,,,,,,,,,,,,,N
R211-235014002-0000,청어_육_말린것_대표_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,2,말린것,100g,464,24.0,44.5,24.0,6.5,1.0,,,87.0,10.4,470.0,250.0,1300.0,12.0,12.0,,0.01,0.5,4.0,0.0,,,,,0.0,N
R211-235014004-0000,청어_육_삶아서 말린것_대표_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,4,삶아서 말린것,100g,137,76.0,18.7,4.7,0.6,0.0,,,73.0,2.1,277.0,,,9.0,9.0,,0.11,0.11,0.9,0.0,,,,,55.0,N
R211-235014046-0003,청어_육_삶은것_대표_3월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,46,삶은것,100g,106,76.3,9.99,1.7,0.44,11.55,,,,,,,,,,,,,,,,,,,,N
R211-235014046-0004,청어_육_삶은것_대표_4월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,46,삶은것,100g,121,74.9,8.93,3.7,0.57,11.9,,,,,,,,,,,,,,,,,,,,N
R211-235014001-0008,청어_육_생것_대표_8월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,1,생것,100g,177,70.5,17.6,10.96,1.22,0.0,,,,,,,,,,,,,,,,,,,,N
R211-235014001-1678,청어_육_생것_동해EEZ_2월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,1,생것,100g,112,76.8,17.98,3.89,1.32,0.0,,,,,,,,,,,,,,,,,,,,N
R211-235014001-1200,청어_육_생것_부산_5월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,1,생것,100g,213,66.3,16.3,15.1,1.9,0.4,0.4,0.0,35.0,0.8,304.0,,,,69.0,,0.03,0.25,6.3,1.0,,,,,,N
R211-235014001-1221,청어_육_생것_포항_2월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,1,생것,100g,131,74.3,19.0,5.43,1.27,0.03,,,,,,,,4.0,4.0,0.0,0.968,0.221,0.285,,,22.57,0.95,0.01,52.0,N
R211-235014021-0000,청어_육_소금에 절여 저장한것_대표_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,21,소금에 절여 저장한것,100g,176,64.8,17.5,9.0,8.5,0.2,,,55.0,6.0,228.0,298.0,538.0,0.0,0.0,,0.02,0.3,4.0,0.0,,,,,15.0,N
R211-235014035-0909,청어_육_얼려서 말린것_사천_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,35,얼려서 말린것,100g,371,37.9,35.18,23.09,2.56,1.28,,,14.0,2.31,574.0,444.0,480.0,6.0,6.0,0.0,1.911,0.568,1.05,,,54.8,3.89,0.03,0.0,N
R211-235014035-1227,청어_육_얼려서 말린것_영덕_6월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,35,얼려서 말린것,100g,349,45.2,25.2,24.5,2.2,2.9,,,64.0,1.5,0.0,,,,,,,,,,,,,,,N
R118-057000002-0000,파슬리_말린것,R,원재료성 식품,1,식물성,18,조미료류,18057,파슬리,1805700,해당없음,180570000,해당없음,2,말린것,100g,298,3.6,20.16,3.41,11.23,61.59,5.67,21.7,1129.0,39.9,461.0,2714.0,630.0,1007.0,0.0,12082.0,0.18,1.811,7.562,447.72,0.0,0.0,0.64,0.0,0.0,N
R211-011031601-0008,"갈치류_갈치(24cm이상)_암컷,육_생것_대표_8월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11011,갈치류,1101103,갈치(24cm이상),110110316,"암컷,육",1,생것,100g,94,79.5,18.77,1.58,0.72,0.0,,,,,,,,,,,,,,,,,,,,N
R211-011031601-0009,"갈치류_갈치(24cm이상)_암컷,육_생것_대표_9월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11011,갈치류,1101103,갈치(24cm이상),110110316,"암컷,육",1,생것,100g,101,78.7,19.41,2.01,1.22,0.0,,,,,,,,,,,,,,,,,,,,N
R211-011014172-0902,갈치류_갈치_내장_젓갈(속젓갈)_진주_6월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11011,갈치류,1101101,갈치,110110141,내장,72,젓갈(속젓갈),100g,195,46.6,8.4,3.6,9.0,32.4,0.0,0.0,152.0,0.5,4.0,,,,,,,,,,,,,,,N
R211-011012801-0010,"갈치류_갈치_수컷,육_생것_대표_10월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11011,갈치류,1101101,갈치,110110128,"수컷,육",1,생것,100g,111,77.4,18.83,3.34,1.02,0.0,,,,,,,,,,,,,,,,,,,,N
R106-144000001-0000,열무_생것,R,원재료성 식품,1,식물성,6,채소류,6144,열무,614400,해당없음,61440000,해당없음,1,생것,100g,14,94.5,2.08,0.21,1.22,1.99,0.0,1.3,156.0,1.7,44.0,326.0,48.0,225.0,0.0,2698.0,0.044,0.096,0.359,7.25,0.0,0.0,0.04,0.0,4.0,N
R211-235014016-0000,청어_육_훈제_대표_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,16,훈제,100g,311,43.9,23.1,22.1,10.9,,,0.0,150.0,3.5,400.0,280.0,3900.0,,,,0.01,0.35,5.0,0.0,48.0,,4.53,,45.0,N
R211-927054101-1201,청해삼_내장_생것_부산_6월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11927,해삼,1192705,청해삼,119270541,내장,1,생것,100g,35,90.1,5.75,0.76,2.55,0.88,,,,,,,,31.0,0.0,0.0,0.0,0.211,0.0,,,10.2,0.11,,0.0,N
R211-927054001-1201,청해삼_육_생것_부산_6월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11927,해삼,1192705,청해삼,119270540,육,1,생것,100g,33,89.8,4.84,0.56,3.0,1.75,,,,,,,,29.0,,,0.0,0.029,0.633,,,3.49,0.12,,48.0,N
R211-927054001-1211,청해삼_육_생것_포항_3월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11927,해삼,1192705,청해삼,119270540,육,1,생것,100g,19,92.9,3.1,0.36,2.9,0.7,,,,,,,,,,,,,,,,,,,,N
R211-237014001-1052,초어_육_생것_창원_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11237,초어,1123701,초어,112370140,육,1,생것,100g,89,79.7,17.1,1.7,1.3,0.2,0.2,0.0,66.0,1.7,217.0,,,,15.0,,0.3,0.13,3.5,1.0,,,,,,N
R211-515013901-0766,코끼리조개_전체_생것_여수_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11515,코끼리조개,1151501,코끼리조개,115150139,전체,1,생것,100g,103,75.4,12.58,1.21,1.35,9.49,,,65.0,8.03,193.0,279.0,250.0,65.0,,,0.0,0.139,8.454,,,45.37,0.21,,53.0,N
R211-721014046-0000,크릴류_크릴_육_삶은것_대표_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11721,크릴류,1172101,크릴,117210140,육,46,삶은것,100g,87,79.8,13.8,3.0,3.4,,,,350.0,0.6,310.0,200.0,620.0,150.0,150.0,,0.21,0.25,1.4,4.0,0.0,,0.69,,0.0,N
R211-721014001-0000,크릴류_크릴_육_생것_대표_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11721,크릴류,1172101,크릴,117210140,육,1,생것,100g,76,81.9,12.1,2.6,3.2,0.2,0.2,0.0,401.0,2.0,263.0,,,,158.0,,0.13,0.25,1.7,2.0,,,,,,N
R211-721014043-0000,크릴류_크릴_육_페이스트_대표_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11721,크릴류,1172101,크릴,117210140,육,43,페이스트,100g,130,74.0,16.5,5.5,2.0,2.0,2.0,0.0,180.0,,,,,,,,,,,,,,,,,N
R211-517014001-1200,큰구슬우렁이(골뱅이)_육_생것_부산_5월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11517,큰구슬우렁이(골뱅이),1151701,큰구슬우렁이(골뱅이),115170140,육,1,생것,100g,76,79.9,17.4,0.1,2.3,0.3,0.3,0.0,46.0,2.6,147.0,,,,0.0,,0.03,0.12,2.3,1.0,,,,,,N
R211-519014001-1052,큰논우렁이_육_생것_창원_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11519,큰논우렁이,1151901,큰논우렁이,115190140,육,1,생것,100g,71,80.4,9.8,1.0,3.9,4.9,4.9,0.0,1003.0,17.1,115.0,,,,15.0,,0.2,0.39,2.3,1.0,,,,,,N
R112-849014002-0000,클로렐라_육_말린것_대표_평균,R,원재료성 식품,1,식물성,12,해조류,12849,클로렐라,1284901,클로렐라,128490140,육,2,말린것,100g,97,10.3,45.3,7.2,11.5,25.7,,,117.0,73.4,1536.0,,,,,,,,,,,,,,0.0,N
