food_code,food_name,data_pid,data_pid_name,serving_size(g),calorie_kcal,carbohydrate_g,protein_g,fat_g,sugar_g,saturated_fat_g,trans_fat_g,sodium_mg,cholesterol_mg,dietary_fiber_g,vitamin_a_μg,vitamin_c_mg,vitamin_d_ug,calcium_mg,iron_mg
R211-009112801-0001,"가자미류_기름가자미(21-24cm)_수컷,육_생것_대표_1월",R,원재료성 식품,100.0,90,0.0,19.42,0.83,,,,,,,,,,,
R211-009111601-0001,"가자미류_기름가자미(21-24cm)_암컷,육_생것_대표_1월",R,원재료성 식품,100.0,92,0.61,19.2,0.93,,,,,,,,,,,
R211-009111601-0002,"가자미류_기름가자미(21-24cm)_암컷,육_생것_대표_2월",R,원재료성 식품,100.0,82,1.58,17.36,0.24,,,,,,,,,,,
R211-009132801-0010,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_10월",R,원재료성 식품,100.0,83,0.62,17.63,0.64,,,,,,,,,,,
R211-009132801-0011,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_11월",R,원재료성 식품,100.0,92,0.0,18.51,1.49,,,,,,,,,,,
R211-009132801-0012,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_12월",R,원재료성 식품,100.0,95,0.16,17.38,2.19,,,,,,,,,,,
R211-009132801-0001,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_1월",R,원재료성 식품,100.0,89,0.0,19.0,0.94,,,,,,,,,,,
R211-009132801-0002,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_2월",R,원재료성 식품,100.0,81,1.86,16.45,0.44,,,,,,,,,,,
R211-009132801-0003,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_3월",R,원재료성 식품,100.0,102,2.27,18.59,1.47,,,,,,,,,,,
R211-009132801-0004,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_4월",R,원재료성 식품,100.0,87,0.48,17.99,0.99,,,,,,,,,,,
R211-009132801-0005,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_5월",R,원재료성 식품,100.0,81,1.68,16.34,0.59,,,,,,,,,,,
R211-009132801-0006,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_6월",R,원재료성 식품,100.0,88,0.0,19.26,0.71,,,,,,,,,,,
R211-009132801-0007,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_7월",R,원재료성 식품,100.0,88,0.0,17.3,1.55,,,,,,,,,,,
R211-009132801-0008,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_8월",R,원재료성 식품,100.0,82,0.44,16.6,1.05,,,,,,,,,,,
R211-009132801-0009,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_9월",R,원재료성 식품,100.0,90,0.0,19.32,0.9,,,,,,,,,,,
R211-009131601-0010,"가자미류_기름가자미(25-29cm)_암컷,육_생것_대표_10월",R,원재료성 식품,100.0,91,0.0,18.98,1.21,,,,,,,,,,,
